Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
NKLA,54.24,Put,100.00,08/21/20,42,59.30,61.75,64.20,61.40,517,1500,0.34,354.54%,07/10/20
CVM,14.3,Put,5.00,08/21/20,42,0.70,0.75,0.80,0.75,710,10862,0.07,321.87%,07/10/20
MCRB,4.51,Put,2.50,08/21/20,42,0.45,0.6,0.75,0.59,557,2318,0.24,310.56%,07/10/20
GNUS,2.35,Call,6.00,08/07/20,28,0.15,0.22,0.30,0.20,559,710,0.79,304.10%,07/10/20
CVM,14.3,Put,10.00,10/16/20,98,4.50,4.6,4.70,4.85,876,5127,0.17,302.26%,07/10/20
CVM,14.3,Put,5.00,10/16/20,98,1.65,1.7,1.75,1.65,1547,14259,0.11,300.30%,07/10/20
GSX,87.63,Put,25.00,08/21/20,42,1.90,1.95,2.00,1.94,1090,2261,0.48,286.49%,07/10/20
GNUS,2.35,Put,2.00,07/31/20,21,0.40,0.43,0.45,0.42,650,832,0.78,284.24%,07/10/20
GNUS,2.35,Call,4.00,07/31/20,21,0.20,0.25,0.30,0.24,797,707,1.13,278.37%,07/10/20
TTOO,1.38,Call,2.50,08/21/20,42,0.20,0.23,0.25,0.25,831,7463,0.11,269.69%,07/10/20
IDEX,1.38,Call,3.00,08/21/20,42,0.15,0.18,0.20,0.19,1125,20385,0.06,267.88%,07/10/20
GSX,87.63,Put,30.00,08/21/20,42,2.35,2.38,2.40,2.35,2098,3884,0.54,261.93%,07/10/20
MCRB,4.51,Call,7.50,08/21/20,42,0.75,0.83,0.90,0.86,1190,296,4.02,260.79%,07/10/20
GNUS,2.35,Call,2.50,08/07/20,28,0.55,0.6,0.65,0.60,504,393,1.28,255.94%,07/10/20
VXRT,7.98,Call,10.00,08/21/20,42,2.00,2.08,2.15,2.08,519,1327,0.39,253.39%,07/10/20
GNUS,2.35,Call,3.00,07/31/20,21,0.35,0.4,0.45,0.36,796,1495,0.53,251.90%,07/10/20
OAS,0.69,Call,1.00,08/21/20,42,0.15,0.18,0.20,0.15,720,4334,0.17,251.81%,07/10/20
GNUS,2.35,Call,4.00,08/21/20,42,0.30,0.35,0.40,0.40,820,3225,0.25,249.87%,07/10/20
NAK,1.5,Call,1.00,08/21/20,42,0.65,0.68,0.70,0.70,549,20740,0.03,247.04%,07/10/20
CRBP,7.68,Call,15.00,08/21/20,42,0.75,0.98,1.20,1.03,2510,13588,0.18,246.88%,07/10/20
GOGO,3.48,Call,2.00,08/21/20,42,1.50,1.58,1.65,1.80,565,6224,0.09,245.84%,07/10/20
NKLA,54.24,Put,30.00,07/31/20,21,1.85,1.93,2.00,1.90,917,198,4.63,245.54%,07/10/20
IDEX,1.38,Call,1.00,08/21/20,42,0.55,0.58,0.60,0.60,669,3058,0.22,244.42%,07/10/20
SOLO,4.41,Put,2.50,08/21/20,42,0.35,0.38,0.40,0.38,627,3530,0.18,243.40%,07/10/20
CRBP,7.68,Call,10.00,08/21/20,42,1.60,1.7,1.80,1.78,3657,15042,0.24,240.58%,07/10/20
VXRT,7.98,Call,17.50,01/15/21,189,3.10,3.55,4.00,3.63,568,617,0.92,240.13%,07/10/20
GTX,5.06,Call,5.00,10/16/20,98,2.10,2.3,2.50,2.35,1826,5898,0.31,236.68%,07/10/20
NKLA,54.24,Put,30.00,08/21/20,42,3.30,3.65,4.00,3.99,985,4889,0.2,233.09%,07/10/20
NKLA,54.24,Put,35.00,08/21/20,42,5.10,5.6,6.10,5.90,782,4644,0.17,231.30%,07/10/20
VXRT,7.98,Call,12.50,01/15/21,189,3.90,4.2,4.50,4.00,564,457,1.23,230.70%,07/10/20
NVAX,94.36,Put,8.00,10/16/20,98,0.05,0.13,0.20,0.19,705,510,1.38,228.62%,07/10/20
IDEX,1.38,Call,2.00,08/21/20,42,0.25,0.28,0.30,0.25,3028,11587,0.26,226.28%,07/10/20
GSX,87.63,Put,40.00,08/21/20,42,3.40,3.55,3.70,3.40,1320,8981,0.15,225.15%,07/10/20
SOLO,4.41,Call,7.50,08/21/20,42,0.60,0.63,0.65,0.60,639,3893,0.16,223.59%,07/10/20
NAK,1.5,Call,2.00,08/21/20,42,0.30,0.32,0.35,0.30,2769,13027,0.21,222.35%,07/10/20
GNUS,2.35,Call,3.00,08/21/20,42,0.50,0.53,0.55,0.50,2841,9575,0.3,222.02%,07/10/20
WKHS,15.18,Put,30.00,08/21/20,42,16.10,16.35,16.60,16.30,12311,6432,1.91,221.38%,07/10/20
NIO,14.98,Call,4.00,08/21/20,42,10.90,11.08,11.25,11.07,579,5979,0.1,219.96%,07/10/20
RRD,1.21,Call,2.00,12/18/20,161,0.50,0.53,0.55,0.50,1087,844,1.29,217.93%,07/10/20
NIO,14.98,Call,23.00,07/31/20,21,1.06,1.08,1.09,1.09,678,1524,0.44,216.69%,07/10/20
XSPA,3.8,Call,5.00,08/21/20,42,0.70,0.75,0.80,0.74,836,2248,0.37,215.52%,07/10/20
NIO,14.98,Call,27.00,08/21/20,42,1.60,1.64,1.67,1.65,667,963,0.69,213.52%,07/10/20
SOLO,4.41,Call,5.00,08/21/20,42,1.05,1.08,1.10,1.05,932,4115,0.23,212.38%,07/10/20
CEMI,4.24,Call,5.00,08/21/20,42,0.95,1.03,1.10,0.95,1243,2098,0.59,211.65%,07/10/20
NIO,14.98,Call,20.00,07/31/20,21,1.53,1.54,1.55,1.53,1072,811,1.32,211.33%,07/10/20
NIO,14.98,Call,18.00,07/31/20,21,1.88,1.94,1.99,1.98,813,756,1.08,209.79%,07/10/20
DS,1.95,Call,2.50,08/21/20,42,0.40,0.43,0.45,0.38,1476,2912,0.51,209.76%,07/10/20
GSX,87.63,Put,45.00,08/21/20,42,4.00,4.1,4.20,4.00,1556,4508,0.35,209.50%,07/10/20
GNUS,2.35,Call,3.00,09/18/20,70,0.65,0.7,0.75,0.65,1391,3353,0.41,208.65%,07/10/20
NIO,14.98,Put,5.50,08/21/20,42,0.21,0.22,0.22,0.21,614,7257,0.08,207.10%,07/10/20
NIO,14.98,Call,17.00,07/31/20,21,2.25,2.3,2.35,2.21,939,552,1.7,205.74%,07/10/20
NIO,14.98,Put,5.00,08/21/20,42,0.14,0.15,0.15,0.14,506,70222,0.01,204.97%,07/10/20
NIO,14.98,Call,20.00,08/07/20,28,1.88,1.92,1.95,1.88,566,850,0.67,204.88%,07/10/20
NIO,14.98,Call,15.00,07/31/20,21,2.79,2.84,2.89,2.90,2713,2449,1.11,204.58%,07/10/20
NIO,14.98,Call,17.00,08/07/20,28,2.48,2.59,2.70,2.64,612,392,1.56,204.09%,07/10/20
NIO,14.98,Put,6.00,08/21/20,42,0.27,0.29,0.30,0.27,1469,53502,0.03,203.65%,07/10/20
IDEX,1.38,Call,2.50,01/15/21,189,0.55,0.58,0.60,0.55,771,12417,0.06,203.54%,07/10/20
NIO,14.98,Call,16.00,08/07/20,28,2.85,2.92,2.98,2.95,641,364,1.76,203.14%,07/10/20
SRNE,8.06,Put,7.00,08/21/20,42,1.40,1.45,1.50,1.53,724,486,1.49,202.66%,07/10/20
MARK,1.63,Call,3.00,08/21/20,42,0.10,0.13,0.15,0.15,584,10572,0.06,202.02%,07/10/20
NIO,14.98,Call,20.00,08/21/20,42,2.46,2.53,2.60,2.57,3271,13115,0.25,201.61%,07/10/20
NIO,14.98,Put,10.00,07/31/20,21,0.62,0.64,0.65,0.65,759,1151,0.66,201.09%,07/10/20
NIO,14.98,Call,18.00,08/21/20,42,2.95,3.05,3.15,3.05,1490,2807,0.53,201.02%,07/10/20
MRNS,2.33,Call,3.00,01/15/21,189,1.05,1.08,1.10,1.10,849,5348,0.16,200.94%,07/10/20
MARK,1.63,Call,2.00,08/21/20,42,0.30,0.32,0.35,0.32,1154,2734,0.42,200.63%,07/10/20
NIO,14.98,Call,19.00,08/21/20,42,2.70,2.81,2.91,2.78,1316,850,1.55,200.44%,07/10/20
NIO,14.98,Put,12.00,07/31/20,21,1.25,1.3,1.35,1.32,779,1111,0.7,199.50%,07/10/20
NIO,14.98,Put,7.00,08/21/20,42,0.41,0.43,0.44,0.43,1935,18309,0.11,198.90%,07/10/20
NIO,14.98,Call,14.00,07/31/20,21,3.15,3.22,3.30,3.25,819,2447,0.33,198.62%,07/10/20
GSX,87.63,Put,25.00,10/16/20,98,2.25,2.43,2.60,2.34,533,4759,0.11,198.19%,07/10/20
NIO,14.98,Call,16.00,07/31/20,21,2.43,2.49,2.55,2.43,1994,1157,1.72,198.05%,07/10/20
NIO,14.98,Call,14.00,08/07/20,28,3.50,3.65,3.80,3.65,628,1665,0.38,197.98%,07/10/20
WKHS,15.18,Put,12.50,08/21/20,42,2.30,2.5,2.70,2.40,10866,1863,5.83,195.93%,07/10/20
NIO,14.98,Call,15.00,08/07/20,28,3.15,3.2,3.25,3.20,1730,1616,1.07,195.81%,07/10/20
NAK,1.5,Call,2.00,11/20/20,133,0.50,0.55,0.60,0.55,645,3154,0.2,195.28%,07/10/20
NIO,14.98,Put,8.00,08/21/20,42,0.64,0.66,0.67,0.64,1294,16229,0.08,195.05%,07/10/20
WKHS,15.18,Put,10.00,08/21/20,42,1.25,1.3,1.35,1.26,1045,3321,0.31,194.81%,07/10/20
NIO,14.98,Call,13.00,07/31/20,21,3.70,3.75,3.80,3.69,599,3177,0.19,194.38%,07/10/20
NIO,14.98,Put,14.00,08/21/20,42,3.15,3.28,3.40,3.26,1933,1010,1.91,194.38%,07/10/20
GSX,87.63,Put,50.00,08/21/20,42,4.50,4.8,5.10,4.60,3354,3462,0.97,194.13%,07/10/20
NIO,14.98,Call,16.00,08/21/20,42,3.45,3.53,3.60,3.49,2451,2842,0.86,192.89%,07/10/20
NIO,14.98,Put,9.00,08/21/20,42,0.91,0.92,0.92,0.91,1533,7874,0.19,192.48%,07/10/20
NIO,14.98,Call,8.00,08/21/20,42,7.30,7.53,7.75,7.60,937,7060,0.13,191.41%,07/10/20
NIO,14.98,Call,15.00,08/14/20,35,3.45,3.5,3.55,3.49,597,871,0.69,191.37%,07/10/20
NIO,14.98,Call,14.00,08/21/20,42,4.05,4.13,4.20,4.20,1174,3926,0.3,191.05%,07/10/20
NAK,1.5,Call,1.00,02/19/21,224,0.90,0.95,1.00,0.95,834,439,1.9,189.26%,07/10/20
NIO,14.98,Put,12.00,08/21/20,42,2.06,2.15,2.24,2.09,906,1173,0.77,189.22%,07/10/20
NIO,14.98,Call,15.00,08/21/20,42,3.70,3.78,3.85,3.77,5310,11265,0.47,189.11%,07/10/20
NIO,14.98,Put,10.00,08/21/20,42,1.20,1.23,1.26,1.21,1758,5286,0.33,188.31%,07/10/20
NIO,14.98,Put,11.00,08/21/20,42,1.55,1.66,1.76,1.59,649,3032,0.21,186.63%,07/10/20
EROS,3.73,Call,7.50,09/18/20,70,0.40,0.43,0.45,0.45,1930,2770,0.7,186.57%,07/10/20
GSX,87.63,Put,30.00,10/16/20,98,2.80,3.05,3.30,3.00,1081,7017,0.15,185.22%,07/10/20
NIO,14.98,Call,12.00,08/21/20,42,4.90,5,5.10,5.00,1180,5551,0.21,183.77%,07/10/20
WKHS,15.18,Call,30.00,08/21/20,42,0.85,0.88,0.90,0.90,12712,9029,1.41,183.72%,07/10/20
SRNE,8.06,Call,9.00,08/21/20,42,1.60,1.65,1.70,1.65,3398,3459,0.98,183.46%,07/10/20
CPE,1.16,Call,1.00,08/21/20,42,0.35,0.38,0.40,0.35,931,3088,0.3,182.12%,07/10/20
XSPA,3.8,Call,5.00,10/16/20,98,1.00,1.03,1.05,1.05,688,770,0.89,180.47%,07/10/20
NIO,14.98,Call,13.00,08/21/20,42,4.45,4.5,4.55,4.45,1692,5569,0.3,180.45%,07/10/20
GNUS,2.35,Call,2.50,01/15/21,189,1.05,1.15,1.25,1.10,2350,4677,0.5,179.81%,07/10/20
SRNE,8.06,Call,8.00,08/21/20,42,1.90,1.92,1.95,1.95,1540,3053,0.5,178.95%,07/10/20
NKLA,54.24,Put,2.50,01/21/22,560,0.50,0.55,0.60,0.60,568,2280,0.25,177.68%,07/10/20
GSX,87.63,Put,35.00,10/16/20,98,3.60,3.95,4.30,3.90,696,8315,0.08,176.71%,07/10/20
NIO,14.98,Call,10.00,08/21/20,42,5.90,6.03,6.15,6.05,557,18277,0.03,176.10%,07/10/20
VBIV,3.92,Call,5.00,08/21/20,42,0.55,0.6,0.65,0.59,750,4873,0.15,175.76%,07/10/20
MGI,3.18,Call,5.00,08/21/20,42,0.20,0.3,0.40,0.30,526,2017,0.26,175.68%,07/10/20
SRNE,8.06,Call,10.00,09/18/20,70,1.70,1.85,2.00,1.83,663,2889,0.23,174.88%,07/10/20
NAK,1.5,Call,4.00,02/19/21,224,0.30,0.35,0.40,0.40,660,164,4.02,172.39%,07/10/20
INO,23.38,Call,25.00,08/21/20,42,4.60,4.7,4.80,4.80,899,4333,0.21,172.31%,07/10/20
CMCM,2.76,Call,3.00,08/21/20,42,0.50,0.53,0.55,0.55,1478,8711,0.17,172.26%,07/10/20
NAK,1.5,Put,1.00,08/21/20,42,0.10,0.15,0.20,0.10,565,4006,0.14,171.99%,07/10/20
EROS,3.73,Call,2.50,09/18/20,70,1.40,1.58,1.75,1.65,556,4878,0.11,171.72%,07/10/20
WKHS,15.18,Call,20.00,08/21/20,42,1.90,2,2.10,2.05,1200,4958,0.24,171.47%,07/10/20
QD,2.38,Call,3.50,08/21/20,42,0.20,0.23,0.25,0.25,886,1458,0.61,171.39%,07/10/20
SRNE,8.06,Call,7.00,08/21/20,42,2.20,2.33,2.45,2.30,616,2531,0.24,170.73%,07/10/20
ACB,12.02,Put,20.00,08/21/20,42,8.65,9,9.35,8.85,702,640,1.1,169.53%,07/10/20
SRNE,8.06,Call,8.00,09/18/20,70,2.35,2.4,2.45,2.36,1095,14851,0.07,169.36%,07/10/20
MVIS,1.5,Call,3.00,11/20/20,133,0.30,0.35,0.40,0.30,524,2025,0.26,169.14%,07/10/20
FCEL,3.07,Call,4.00,08/21/20,42,0.41,0.42,0.43,0.41,698,701,1,167.88%,07/10/20
WTRH,3.5,Put,3.00,08/21/20,42,0.40,0.48,0.55,0.50,938,2414,0.39,167.40%,07/10/20
TSLA,1544.65,Put,5.00,06/17/22,707,0.24,0.25,0.25,0.25,815,19018,0.04,167.17%,07/10/20
WTRH,3.5,Call,4.00,08/21/20,42,0.50,0.6,0.70,0.61,742,1833,0.4,166.87%,07/10/20
XERS,2.64,Put,2.50,08/21/20,42,0.25,0.4,0.55,0.50,1087,1270,0.86,165.94%,07/10/20
SPCE,19.25,Call,30.00,07/31/20,21,0.59,0.61,0.62,0.63,1923,1396,1.38,165.82%,07/10/20
EVRI,5.98,Call,7.50,08/21/20,42,0.85,0.88,0.90,0.85,2062,1645,1.25,165.66%,07/10/20
SRNE,8.06,Call,6.00,08/21/20,42,2.70,2.75,2.80,2.79,652,1861,0.35,165.22%,07/10/20
GSX,87.63,Put,40.00,10/16/20,98,4.40,4.85,5.30,4.60,1110,7211,0.15,164.84%,07/10/20
CLNE,2.72,Call,3.00,08/21/20,42,0.35,0.43,0.50,0.50,740,997,0.74,164.66%,07/10/20
JMIA,7.49,Call,8.00,08/21/20,42,1.35,1.43,1.50,1.45,733,2489,0.29,163.22%,07/10/20
FCEL,3.07,Call,3.50,08/21/20,42,0.52,0.53,0.53,0.52,2260,1650,1.37,162.61%,07/10/20
